fueltype,doornumber,drivewheel,carlength,carwidth,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
gas,two,rwd,168.8,64.1,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,13495
gas,two,rwd,168.8,64.1,2548,dohc,four,130,mpfi,3.47,2.68,9,111,5000,21,27,16500
gas,two,rwd,171.2,65.5,2823,ohcv,six,152,mpfi,2.68,3.47,9,154,5000,19,26,16500
gas,four,fwd,176.6,66.2,2337,ohc,four,109,mpfi,3.19,3.4,10,102,5500,24,30,13950
gas,four,4wd,176.6,66.4,2824,ohc,five,136,mpfi,3.19,3.4,8,115,5500,18,22,17450
gas,two,fwd,177.3,66.3,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250
gas,four,fwd,192.7,71.4,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710
gas,four,fwd,192.7,71.4,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920
gas,four,fwd,192.7,71.4,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875
gas,two,4wd,178.2,67.9,3053,ohc,five,131,mpfi,3.13,3.4,7,160,5500,16,22,17859.167
gas,two,rwd,176.8,64.8,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430
gas,four,rwd,176.8,64.8,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925
gas,two,rwd,176.8,64.8,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,20970
gas,four,rwd,176.8,64.8,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,28,21105
gas,four,rwd,189,66.9,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,25,24565
gas,four,rwd,189,66.9,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,30760
gas,two,rwd,193.8,67.9,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,22,41315
gas,four,rwd,197,70.9,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,20,36880
gas,two,fwd,141.1,60.3,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151
gas,two,fwd,155.9,63.6,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295
gas,four,fwd,158.8,63.6,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575
gas,two,fwd,157.3,63.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572
gas,two,fwd,157.3,63.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377
gas,two,fwd,157.3,63.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957
gas,four,fwd,157.3,63.8,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229
gas,four,fwd,157.3,63.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692
gas,four,fwd,157.3,63.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609
gas,two,fwd,157.3,63.8,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558
gas,four,fwd,174.6,64.6,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921
gas,two,fwd,173.2,66.3,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,24,12964
gas,two,fwd,144.6,63.9,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479
gas,two,fwd,144.6,63.9,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855
gas,two,fwd,150,64,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399
gas,two,fwd,150,64,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529
gas,two,fwd,150,64,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129
gas,four,fwd,163.4,64,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295
gas,four,fwd,157.1,63.9,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295
gas,two,fwd,167.5,65.2,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,7895
gas,two,fwd,167.5,65.2,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,9095
gas,four,fwd,175.4,65.2,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8845
gas,four,fwd,175.4,62.5,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,10295
gas,four,fwd,175.4,65.2,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,12945
gas,two,fwd,169.1,66,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345
gas,four,rwd,170.7,61.8,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785
gas,two,fwd,155.9,63.6,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5
gas,four,fwd,155.9,63.6,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5
gas,two,rwd,172.6,65.2,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048
gas,four,rwd,199.6,69.6,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250
gas,four,rwd,199.6,69.6,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550
gas,two,rwd,191.7,70.6,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000
gas,two,fwd,159.1,64.2,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,31,5195
gas,two,fwd,159.1,64.2,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6095
gas,two,fwd,159.1,64.2,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6795
gas,four,fwd,166.8,64.2,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6695
gas,four,fwd,166.8,64.2,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7395
gas,two,rwd,169,65.7,2380,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,10945
gas,two,rwd,169,65.7,2380,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,11845
gas,two,rwd,169,65.7,2385,rotor,two,70,4bbl,3.33,3.255,9.4,101,6000,17,23,13645
